batch_id,crop_type,region,season,yield_quantity_kg,moisture_content_%,avg_temperature_celsius,transport_delay_hours,equipment_downtime_hours,storage_duration_days,quality_grade,spoilage_loss_%,supply_chain_stage,resource_utilization_%,climate_risk_level,input_cost_per_kg,final_market_price_per_kg,total_input_cost,total_revenue,estimated_profit,profit_margin_%,spoilage_quantity_kg
BATCH00334,Rice,North,Rabi,533.51,12.17,31.37,3.9,0,24,C,9.8,Farm,71.24,Low,4.66,5.88,"₹ 2,486.16","₹ 3,137.04",₹ 650.88,20.75%,52.28
BATCH00335,Barley,West,Kharif,531.62,9.44,28.79,9.6,0.9,24,A,8.06,Farm,79.2,High,9.79,12.2,"₹ 5,204.56","₹ 6,485.76","₹ 1,281.20",19.75%,42.85
BATCH00336,Wheat,East,Rabi,546.93,8.94,21.34,0.7,2.2,29,C,7.22,Transit,80.99,High,6.96,12.04,"₹ 3,806.63","₹ 6,585.04","₹ 2,778.40",42.19%,39.49
BATCH00337,Maize,South,Rabi,346.44,8.17,29.29,2.5,1.1,16,A,1.79,Transit,82,Low,3.92,12,"₹ 1,358.04","₹ 4,157.28","₹ 2,799.24",67.33%,6.20
BATCH00338,Barley,West,Rabi,575.68,16.74,36.41,0.2,4,15,B,8.26,Farm,98.35,High,5.84,14.16,"₹ 3,361.97","₹ 8,151.63","₹ 4,789.66",58.76%,47.55
BATCH00339,Barley,North,Kharif,561.25,10.36,32.29,1,0.1,8,A,7.49,Transit,58.93,High,5.31,8.49,"₹ 2,980.24","₹ 4,765.01","₹ 1,784.78",37.46%,42.04
BATCH00340,Maize,South,Rabi,398.33,10.12,36.64,3.8,2.3,26,B,7.82,Transit,81.15,Medium,4.5,10.61,"₹ 1,792.49","₹ 4,226.28","₹ 2,433.80",57.59%,31.15
BATCH00341,Barley,East,Rabi,475.59,15.36,29.88,0.9,1.7,15,A,2.7,Warehouse,59.4,Medium,9.53,11.19,"₹ 4,532.37","₹ 5,321.85",₹ 789.48,14.83%,12.84
BATCH00342,Maize,North,Rabi,496.07,11.2,22.37,1.8,0.4,25,A,9.08,Farm,60.5,High,9.17,14.79,"₹ 4,548.96","₹ 7,336.88","₹ 2,787.91",38.00%,45.04
BATCH00343,Rice,North,Kharif,486.55,13.06,20.27,1.4,3.6,1,A,1.42,Farm,83.46,Low,4.39,8.12,"₹ 2,135.95","₹ 3,950.79","₹ 1,814.83",45.94%,6.91
BATCH00344,Maize,North,Kharif,533.39,9.63,26.06,2.1,0.3,28,C,2.91,Transit,95.8,High,5.47,14.56,"₹ 2,917.64","₹ 7,766.16","₹ 4,848.52",62.43%,15.52
BATCH00345,Maize,West,Rabi,643.14,17.6,33.96,7.2,2.2,17,C,6.8,Transit,57.95,Medium,8.34,6.49,"₹ 5,363.79","₹ 4,173.98","-₹ 1,189.81",-28.51%,43.73
BATCH00346,Maize,East,Kharif,608.18,16.52,35.81,0.1,2.1,15,C,6.9,Warehouse,98.12,Low,4.46,12.64,"₹ 2,712.48","₹ 7,687.40","₹ 4,974.91",64.72%,41.96
BATCH00347,Barley,South,Rabi,368.78,16.64,25.92,1.7,1.4,14,C,3.48,Farm,65.97,High,7.14,11.33,"₹ 2,633.09","₹ 4,178.28","₹ 1,545.19",36.98%,12.83
BATCH00348,Barley,West,Rabi,562.21,12.07,29.91,4,0.8,14,C,7.16,Farm,69.57,Low,7.9,13.17,"₹ 4,441.46","₹ 7,404.31","₹ 2,962.85",40.02%,40.25
BATCH00349,Maize,West,Kharif,632.89,15.62,28.42,1.3,0.1,10,A,4.19,Transit,57.68,Low,7.58,5.29,"₹ 4,797.31","₹ 3,347.99","-₹ 1,449.32",-43.29%,26.52
BATCH00350,Barley,West,Rabi,538.68,9.44,28.21,0.2,0.8,2,C,0.5,Farm,80.79,Low,7.94,5.78,"₹ 4,277.12","₹ 3,113.57","-₹ 1,163.55",-37.37%,2.69
BATCH00351,Wheat,North,Kharif,609.1,8.09,24.63,1.6,0.4,27,B,2.04,Transit,79.82,High,7.95,5.7,"₹ 4,842.35","₹ 3,471.87","-₹ 1,370.48",-39.47%,12.43
BATCH00352,Wheat,East,Kharif,701.23,8.2,22.73,0.8,1.6,6,A,8.88,Warehouse,72.11,Medium,9.75,10.93,"₹ 6,836.99","₹ 7,664.44",₹ 827.45,10.80%,62.27
BATCH00353,Barley,West,Rabi,602.37,13.87,23.93,0.3,1.4,17,A,2.62,Transit,73.8,Low,5.43,11.03,"₹ 3,270.87","₹ 6,644.14","₹ 3,373.27",50.77%,15.78
BATCH00354,Barley,South,Kharif,524.93,12.55,21.11,3.8,2.4,5,B,1.57,Warehouse,81.15,Low,9.15,14.06,"₹ 4,803.11","₹ 7,380.52","₹ 2,577.41",34.92%,8.24
BATCH00355,Maize,East,Kharif,604.51,13.18,23.96,1.5,0,5,C,6.98,Transit,79.17,High,3.15,9.68,"₹ 1,904.21","₹ 5,851.66","₹ 3,947.45",67.46%,42.19
BATCH00356,Rice,South,Rabi,514.49,8.07,20.18,5.4,1.7,15,B,4.69,Warehouse,68.71,Medium,5.02,5.68,"₹ 2,582.74","₹ 2,922.30",₹ 339.56,11.62%,24.13
BATCH00357,Barley,East,Rabi,502.39,12.23,32.55,3.3,2.8,15,A,8.07,Warehouse,94.21,Medium,3.34,7.1,"₹ 1,677.98","₹ 3,566.97","₹ 1,888.99",52.96%,40.54
BATCH00358,Wheat,South,Kharif,464.86,15.18,26.33,2.4,1.6,20,A,8.68,Farm,83.38,High,7.56,5.08,"₹ 3,514.34","₹ 2,361.49","-₹ 1,152.85",-48.82%,40.35
BATCH00359,Maize,North,Kharif,656.34,12.43,39.46,0,0.1,11,A,8.54,Transit,60.27,Low,3.71,12.77,"₹ 2,435.02","₹ 8,381.46","₹ 5,946.44",70.95%,56.05
BATCH00360,Barley,West,Rabi,418.16,15.32,23.87,1.1,0.1,5,B,3.47,Farm,66,High,8.92,13.16,"₹ 3,729.99","₹ 5,502.99","₹ 1,773.00",32.22%,14.51
BATCH00361,Wheat,South,Kharif,653.24,10.33,26.92,0.4,0,28,C,5.3,Farm,89.39,Medium,7.53,14.98,"₹ 4,918.90","₹ 9,785.54","₹ 4,866.64",49.73%,34.62
BATCH00362,Wheat,East,Kharif,549.99,16.13,27.16,4.8,1,1,A,6.68,Transit,55.23,Low,3.2,9.12,"₹ 1,759.97","₹ 5,015.91","₹ 3,255.94",64.91%,36.74
BATCH00363,Rice,West,Kharif,360.07,13.88,20.17,0.4,1,11,C,3.56,Farm,87.51,Low,8,5.19,"₹ 2,880.56","₹ 1,868.76","-₹ 1,011.80",-54.14%,12.82
BATCH00364,Maize,West,Kharif,536.76,10.11,36.78,0.7,4.3,11,A,0.89,Farm,67.94,Medium,9.03,7.35,"₹ 4,846.94","₹ 3,945.19",-₹ 901.76,-22.86%,4.78
BATCH00365,Maize,East,Kharif,290,10.37,20.64,1.5,0.5,6,C,5.21,Farm,77.58,Low,7.63,10.88,"₹ 2,212.70","₹ 3,155.20",₹ 942.50,29.87%,15.11
BATCH00366,Rice,South,Kharif,562.55,14.28,38.8,0.6,0.4,23,B,0.62,Transit,64.03,High,3.21,14.62,"₹ 1,805.79","₹ 8,224.48","₹ 6,418.70",78.04%,3.49
BATCH00367,Rice,North,Kharif,588.52,16.3,37.84,0.5,1,8,A,9.53,Farm,99.32,Medium,9.01,6.04,"₹ 5,302.57","₹ 3,554.66","-₹ 1,747.90",-49.17%,56.09
BATCH00368,Maize,North,Rabi,440.76,12.16,30.71,1.8,1.7,2,A,8.07,Farm,95.29,Medium,8.13,6.22,"₹ 3,583.38","₹ 2,741.53",-₹ 841.85,-30.71%,35.57
BATCH00369,Maize,South,Rabi,512.35,10.58,30.87,0.2,2.8,15,A,2.32,Farm,96.42,Low,5.65,12.02,"₹ 2,894.78","₹ 6,158.45","₹ 3,263.67",53.00%,11.89
BATCH00370,Barley,West,Rabi,695.42,16.67,33.08,0.1,1.6,23,B,3.23,Transit,59.24,Medium,5.3,11.67,"₹ 3,685.73","₹ 8,115.55","₹ 4,429.83",54.58%,22.46
BATCH00371,Barley,West,Rabi,449.43,14.69,27.74,0.9,0.6,22,B,9.84,Warehouse,92.08,High,6.36,7.51,"₹ 2,858.37","₹ 3,375.22",₹ 516.84,15.31%,44.22
BATCH00372,Rice,West,Rabi,394.11,12.48,32.94,2.6,1,9,C,4.05,Warehouse,76.77,Medium,9.07,13.13,"₹ 3,574.58","₹ 5,174.66","₹ 1,600.09",30.92%,15.96
BATCH00373,Barley,West,Kharif,648.17,12.88,20.9,1.6,1.9,15,B,7.95,Warehouse,85.39,Low,4.76,6.29,"₹ 3,085.29","₹ 4,076.99",₹ 991.70,24.32%,51.53
BATCH00374,Wheat,South,Kharif,696.26,10.04,21.08,1.1,0.7,8,A,4.74,Warehouse,60.88,Medium,3.71,14.26,"₹ 2,583.12","₹ 9,928.67","₹ 7,345.54",73.98%,33.00
BATCH00375,Barley,West,Kharif,500.37,14.27,29.14,1.7,0.2,16,C,8.71,Farm,85.6,Low,9.05,7.01,"₹ 4,528.35","₹ 3,507.59","-₹ 1,020.75",-29.10%,43.58
BATCH00376,Barley,East,Kharif,601.15,11.59,30.99,0.9,0.2,27,B,7.19,Transit,95.71,Low,3.18,5.81,"₹ 1,911.66","₹ 3,492.68","₹ 1,581.02",45.27%,43.22
BATCH00377,Wheat,West,Rabi,634.15,17.96,37.76,5.5,0,14,C,0.72,Farm,63.37,High,9.38,8.4,"₹ 5,948.33","₹ 5,326.86",-₹ 621.47,-11.67%,4.57
BATCH00378,Rice,North,Kharif,425.75,12.8,22.09,0.1,1.3,15,C,3.3,Transit,61.67,Medium,5.14,6.88,"₹ 2,188.36","₹ 2,929.16",₹ 740.81,25.29%,14.05
BATCH00379,Wheat,West,Kharif,451.47,12.86,36.45,2.2,0.1,20,C,5.8,Farm,55.22,High,6.56,10.27,"₹ 2,961.64","₹ 4,636.60","₹ 1,674.95",36.12%,26.19
BATCH00380,Barley,South,Rabi,623.09,13.66,24.2,4.4,0.3,13,A,9.3,Warehouse,63.34,High,3.93,11.87,"₹ 2,448.74","₹ 7,396.08","₹ 4,947.33",66.89%,57.95
BATCH00381,Rice,North,Kharif,668.5,17.17,27.88,3.3,0.4,9,A,1.47,Warehouse,76.79,Medium,9.32,9.91,"₹ 6,230.42","₹ 6,624.84",₹ 394.42,5.95%,9.83
BATCH00382,Barley,South,Kharif,556.29,16.01,26.33,0.4,0.8,1,B,6.21,Transit,91.64,High,8.25,11.61,"₹ 4,589.39","₹ 6,458.53","₹ 1,869.13",28.94%,34.55
BATCH00383,Wheat,South,Rabi,412.02,12.51,28,0.7,0.5,27,A,3.37,Farm,63.94,High,9.47,8.65,"₹ 3,901.83","₹ 3,563.97",-₹ 337.86,-9.48%,13.89
BATCH00384,Wheat,North,Kharif,698.71,15.19,23.01,2.5,1.1,6,C,8.95,Warehouse,81.06,Low,7.78,5.28,"₹ 5,435.96","₹ 3,689.19","-₹ 1,746.78",-47.35%,62.53
BATCH00385,Barley,South,Kharif,446.9,13.86,30.07,0.2,0.1,8,C,7.77,Transit,73.98,High,4.29,14.74,"₹ 1,917.20","₹ 6,587.31","₹ 4,670.11",70.90%,34.72
BATCH00386,Maize,South,Kharif,466.49,12.92,36.03,3.3,0.1,27,A,4.01,Farm,64.43,Medium,5.16,13.19,"₹ 2,407.09","₹ 6,153.00","₹ 3,745.91",60.88%,18.71
BATCH00387,Maize,West,Kharif,534.23,9.92,28.83,2.5,0.7,27,C,2.09,Transit,75.52,Low,6.41,5.73,"₹ 3,424.41","₹ 3,061.14",-₹ 363.28,-11.87%,11.17
BATCH00388,Wheat,East,Kharif,655.42,12.64,29.81,2.6,0.4,20,A,0.61,Farm,58.4,High,7.25,9.49,"₹ 4,751.80","₹ 6,219.94","₹ 1,468.14",23.60%,4.00
BATCH00389,Wheat,South,Rabi,585.4,10.46,36.98,0.2,0.4,18,C,6.4,Farm,81.98,High,9.49,11.35,"₹ 5,555.45","₹ 6,644.29","₹ 1,088.84",16.39%,37.47
BATCH00390,Maize,South,Rabi,541.49,17.15,34.12,2.5,0.1,27,B,4.36,Farm,55.78,Medium,5.69,6.91,"₹ 3,081.08","₹ 3,741.70",₹ 660.62,17.66%,23.61
BATCH00391,Maize,South,Rabi,546.33,11.35,29.81,2.3,2.3,18,B,3.49,Transit,86.55,High,7.92,10.78,"₹ 4,326.93","₹ 5,889.44","₹ 1,562.50",26.53%,19.07
BATCH00392,Barley,West,Rabi,504.35,17.52,25.15,3.6,1.2,26,A,9.86,Transit,58.89,Medium,9.73,10.34,"₹ 4,907.33","₹ 5,214.98",₹ 307.65,5.90%,49.73
BATCH00393,Barley,East,Rabi,555.81,13.33,37.7,0.1,0.1,17,A,4.93,Farm,99.91,High,4.07,7.08,"₹ 2,262.15","₹ 3,935.13","₹ 1,672.99",42.51%,27.40
BATCH00394,Maize,North,Rabi,247.04,14.32,31.54,0,0.1,21,A,7.62,Warehouse,91.18,High,9.04,6.41,"₹ 2,233.24","₹ 1,583.53",-₹ 649.72,-41.03%,18.82
BATCH00395,Barley,West,Kharif,470.34,13.43,24.42,0.9,3.7,16,A,2.19,Farm,67.19,Medium,5.94,12.59,"₹ 2,793.82","₹ 5,921.58","₹ 3,127.76",52.82%,10.30
BATCH00396,Barley,West,Rabi,524.13,9.29,25.38,0.3,1.1,13,A,0.63,Transit,71.31,Low,8.13,8.23,"₹ 4,261.18","₹ 4,313.59",₹ 52.41,1.22%,3.30
BATCH00397,Rice,East,Rabi,384.9,11.76,36.06,1.6,0.5,22,C,4.47,Farm,62.96,Medium,5.05,7.44,"₹ 1,943.75","₹ 2,863.66",₹ 919.91,32.12%,17.21
BATCH00398,Barley,East,Kharif,538.63,8.99,20.88,5,1.2,4,B,6.82,Transit,88.36,Low,5.34,12.38,"₹ 2,876.28","₹ 6,668.24","₹ 3,791.96",56.87%,36.73
BATCH00399,Wheat,West,Kharif,479.55,14.23,39.84,1,1.4,4,C,5.31,Farm,69.04,Low,3.19,12.36,"₹ 1,529.76","₹ 5,927.24","₹ 4,397.47",74.19%,25.46
BATCH00400,Barley,North,Rabi,675.55,12.47,22.61,3.7,1.5,21,B,8.96,Farm,87.76,Medium,9.8,7.76,"₹ 6,620.39","₹ 5,242.27","-₹ 1,378.12",-26.29%,60.53
BATCH00401,Barley,West,Kharif,657.3,15.78,35.92,0,0.6,14,C,4.62,Warehouse,50.92,Medium,8.69,13.73,"₹ 5,711.94","₹ 9,024.73","₹ 3,312.79",36.71%,30.37
BATCH00402,Maize,East,Rabi,453.42,10.2,27.9,0.4,0.6,5,C,3.45,Warehouse,56.78,High,3.66,11.88,"₹ 1,659.52","₹ 5,386.63","₹ 3,727.11",69.19%,15.64
BATCH00403,Wheat,North,Kharif,484.92,9.65,29.84,0.1,0,16,C,9.2,Transit,68.25,High,10,8.46,"₹ 4,849.20","₹ 4,102.42",-₹ 746.78,-18.20%,44.61
BATCH00404,Barley,East,Rabi,492.61,12.06,37.61,0.8,2.6,14,A,4.36,Farm,55.45,Low,7.24,9.27,"₹ 3,566.50","₹ 4,566.49","₹ 1,000.00",21.90%,21.48
BATCH00405,Barley,North,Kharif,454.83,17.27,28.26,4.8,0.9,14,B,3.06,Transit,80.06,High,8.98,12.27,"₹ 4,084.37","₹ 5,580.76","₹ 1,496.39",26.81%,13.92
BATCH00406,Rice,South,Kharif,519.5,15.1,30.75,0.2,0.2,14,A,1.43,Farm,52.54,Medium,3.47,7.12,"₹ 1,802.67","₹ 3,698.84","₹ 1,896.18",51.26%,7.43
BATCH00407,Barley,East,Rabi,424.17,12.19,20.99,1.9,2.5,25,A,8.04,Farm,92.99,Low,5.73,9.69,"₹ 2,430.49","₹ 4,110.21","₹ 1,679.71",40.87%,34.10
BATCH00408,Barley,East,Rabi,386.94,13.17,20.05,1.2,2.5,24,C,8.34,Farm,88.07,High,7.69,11.54,"₹ 2,975.57","₹ 4,465.29","₹ 1,489.72",33.36%,32.27
BATCH00409,Rice,West,Rabi,562.27,8.84,24.9,5.6,4.5,25,B,0.82,Warehouse,60.81,High,3.75,10.39,"₹ 2,108.51","₹ 5,841.99","₹ 3,733.47",63.91%,4.61
BATCH00410,Maize,East,Rabi,562.95,17.85,33.61,0.3,2.1,29,B,3.91,Transit,74.19,Medium,6.42,11.08,"₹ 3,614.14","₹ 6,237.49","₹ 2,623.35",42.06%,22.01
BATCH00411,Barley,East,Rabi,419.57,14.66,22.43,0.5,6.1,14,B,7.62,Farm,72.59,Medium,6.1,10.46,"₹ 2,559.38","₹ 4,388.70","₹ 1,829.33",41.68%,31.97
BATCH00412,Rice,South,Kharif,589.54,10.85,22.28,0.1,0.3,19,B,9.49,Farm,86.24,High,4.51,6.99,"₹ 2,658.83","₹ 4,120.88","₹ 1,462.06",35.48%,55.95
BATCH00413,Wheat,East,Rabi,436.84,13.86,28.22,1.1,1.8,3,A,4.09,Transit,70.08,Low,5.1,9.1,"₹ 2,227.88","₹ 3,975.24","₹ 1,747.36",43.96%,17.87
BATCH00414,Maize,South,Rabi,525.32,9.09,32.96,0.7,1.7,17,A,8.78,Transit,51.65,Low,9.77,10.32,"₹ 5,132.38","₹ 5,421.30",₹ 288.93,5.33%,46.12
BATCH00415,Wheat,South,Kharif,582.03,17.66,34.24,4.1,0.3,14,B,4.24,Farm,63.69,Medium,5.02,12.8,"₹ 2,921.79","₹ 7,449.98","₹ 4,528.19",60.78%,24.68
BATCH00416,Wheat,South,Kharif,496.64,9.75,23.57,1.9,0.1,10,A,2.21,Warehouse,73.31,Medium,4.49,11.54,"₹ 2,229.91","₹ 5,731.23","₹ 3,501.31",61.09%,10.98
BATCH00417,Rice,South,Rabi,545.47,14.48,21.59,1.9,3.9,13,B,0.53,Warehouse,98.72,Medium,6.75,9.27,"₹ 3,681.92","₹ 5,056.51","₹ 1,374.58",27.18%,2.89
BATCH00418,Barley,North,Kharif,448.36,10.45,38.81,1.5,0.4,22,A,3.64,Farm,94.06,High,7.7,14.74,"₹ 3,452.37","₹ 6,608.83","₹ 3,156.45",47.76%,16.32
BATCH00419,Rice,West,Kharif,480.35,15.18,25.21,0.2,2,4,C,4.1,Warehouse,59.07,High,8.08,6.08,"₹ 3,881.23","₹ 2,920.53",-₹ 960.70,-32.89%,19.69
BATCH00420,Rice,North,Rabi,479.41,15.77,37.07,1.2,0,11,C,9.48,Transit,86.16,Medium,8.28,7.07,"₹ 3,969.51","₹ 3,389.43",-₹ 580.09,-17.11%,45.45
BATCH00421,Rice,East,Kharif,425.34,14.73,37.27,15.2,0,15,B,2.46,Warehouse,96.84,Low,3.26,8.41,"₹ 1,386.61","₹ 3,577.11","₹ 2,190.50",61.24%,10.46
BATCH00422,Rice,North,Kharif,482.32,14.14,35.45,3.6,0.6,15,B,4.13,Transit,50.44,Medium,5.76,7.29,"₹ 2,778.16","₹ 3,516.11",₹ 737.95,20.99%,19.92
BATCH00423,Maize,North,Rabi,345.14,16.92,23.38,4.5,0.3,24,A,0.74,Transit,86.05,Medium,8.42,11.25,"₹ 2,906.08","₹ 3,882.83",₹ 976.75,25.16%,2.55
BATCH00424,Barley,East,Rabi,450.88,8.79,36.44,3.5,1.2,2,B,7.75,Transit,72.97,Low,9.33,5.4,"₹ 4,206.71","₹ 2,434.75","-₹ 1,771.96",-72.78%,34.94
BATCH00425,Wheat,East,Kharif,471.51,11.31,35.39,0.2,0.8,11,B,9.19,Transit,84.01,Low,7.22,6.77,"₹ 3,404.30","₹ 3,192.12",-₹ 212.18,-6.65%,43.33
BATCH00426,Wheat,East,Kharif,474.38,10.48,31.93,0.5,0.1,2,A,2.76,Warehouse,80.28,Low,3.37,7.93,"₹ 1,598.66","₹ 3,761.83","₹ 2,163.17",57.50%,13.09
BATCH00427,Barley,North,Rabi,475.85,17.88,26.74,0,0.2,23,B,4.58,Transit,99.23,Low,5.78,11.83,"₹ 2,750.41","₹ 5,629.31","₹ 2,878.89",51.14%,21.79
BATCH00428,Wheat,North,Kharif,493.82,11.89,25.25,0.7,0.5,29,B,1.66,Farm,64.44,High,3.52,13.76,"₹ 1,738.25","₹ 6,794.96","₹ 5,056.72",74.42%,8.20
BATCH00429,Barley,East,Kharif,547.94,15.33,22.44,0.2,0.2,5,C,4.84,Transit,89.31,High,8.24,12.98,"₹ 4,515.03","₹ 7,112.26","₹ 2,597.24",36.52%,26.52
BATCH00430,Wheat,West,Kharif,587.45,14.85,30.2,1.3,1.6,13,C,1.77,Farm,61.73,Medium,3.44,6.82,"₹ 2,020.83","₹ 4,006.41","₹ 1,985.58",49.56%,10.40
BATCH00431,Rice,West,Rabi,435.02,10.12,31.71,2.3,0.5,1,C,5.47,Transit,71.78,High,4.3,10.65,"₹ 1,870.59","₹ 4,632.96","₹ 2,762.38",59.62%,23.80
BATCH00432,Wheat,South,Kharif,379.68,10.39,27.19,4.2,0.1,7,B,7.48,Transit,98.77,Medium,5.92,5.3,"₹ 2,247.71","₹ 2,012.30",-₹ 235.40,-11.70%,28.40
BATCH00433,Barley,East,Kharif,395.8,10.81,29.51,2.8,0.7,7,A,5.76,Warehouse,88.31,Medium,6.24,8.11,"₹ 2,469.79","₹ 3,209.94",₹ 740.15,23.06%,22.80
BATCH00434,Barley,South,Rabi,451.28,12.11,27.27,5.6,0.1,10,C,2.83,Transit,65.79,Low,5.85,13.06,"₹ 2,639.99","₹ 5,893.72","₹ 3,253.73",55.21%,12.77
BATCH00435,Barley,West,Kharif,464.81,10.34,32.82,0.1,0.1,6,B,3.86,Transit,80.97,Low,6.24,9.57,"₹ 2,900.41","₹ 4,448.23","₹ 1,547.82",34.80%,17.94
BATCH00436,Barley,South,Kharif,423,8.2,38.03,0,0.3,20,C,6.57,Warehouse,52.48,High,7.99,6.5,"₹ 3,379.77","₹ 2,749.50",-₹ 630.27,-22.92%,27.79
BATCH00437,Barley,East,Rabi,370.39,16.79,23.28,2.2,2,12,A,6.1,Warehouse,63.32,High,5.58,9.39,"₹ 2,066.78","₹ 3,477.96","₹ 1,411.19",40.58%,22.59
BATCH00438,Maize,East,Rabi,454.39,17.66,27.63,0.7,2.6,13,A,1.8,Farm,85.92,High,6.83,6.98,"₹ 3,103.48","₹ 3,171.64",₹ 68.16,2.15%,8.18
BATCH00439,Maize,East,Rabi,518.14,11.42,22.82,0.6,1.8,24,A,8.53,Warehouse,78.5,High,5.12,8.93,"₹ 2,652.88","₹ 4,626.99","₹ 1,974.11",42.67%,44.20
BATCH00440,Wheat,North,Rabi,559.5,11.39,32.5,0.8,0.4,28,A,5.01,Farm,73.48,Low,5.48,9.88,"₹ 3,066.06","₹ 5,527.86","₹ 2,461.80",44.53%,28.03
BATCH00441,Barley,South,Kharif,444.26,8.07,34.58,0.6,0.3,11,A,2.04,Transit,84.54,Low,7.3,8.5,"₹ 3,243.10","₹ 3,776.21",₹ 533.11,14.12%,9.06
BATCH00442,Wheat,West,Kharif,458.7,14.8,38.64,1.4,0.8,18,A,1.67,Farm,69.92,High,6.43,14.37,"₹ 2,949.44","₹ 6,591.52","₹ 3,642.08",55.25%,7.66
BATCH00443,Barley,West,Rabi,407.33,16.25,25.58,1.2,1.3,2,B,9.67,Warehouse,51.31,Medium,8.06,10.63,"₹ 3,283.08","₹ 4,329.92","₹ 1,046.84",24.18%,39.39
BATCH00444,Barley,West,Rabi,496.86,9.47,39,1.4,5,16,C,3.17,Transit,72.05,Low,6.92,13.43,"₹ 3,438.27","₹ 6,672.83","₹ 3,234.56",48.47%,15.75
BATCH00445,Maize,North,Kharif,415.16,9.6,21.27,2.2,0.1,2,A,9.13,Farm,95.11,Low,8.63,12.61,"₹ 3,582.83","₹ 5,235.17","₹ 1,652.34",31.56%,37.90
BATCH00446,Maize,North,Rabi,557.31,15.9,32.06,1,0.1,19,C,4.4,Farm,92.83,Low,6.1,11.61,"₹ 3,399.59","₹ 6,470.37","₹ 3,070.78",47.46%,24.52
BATCH00447,Rice,East,Kharif,321.41,14.16,21.14,0.6,1.2,6,C,4.17,Farm,70.45,Low,6.44,9.97,"₹ 2,069.88","₹ 3,204.46","₹ 1,134.58",35.41%,13.40
BATCH00448,Maize,West,Rabi,464.04,8.45,37.88,0.4,1.8,1,B,7.16,Transit,51.11,High,7.69,5.02,"₹ 3,568.47","₹ 2,329.48","-₹ 1,238.99",-53.19%,33.23
BATCH00449,Rice,North,Kharif,530.11,14.23,30.6,0.9,1.9,11,A,0.59,Farm,81.82,High,4.55,11.13,"₹ 2,412.00","₹ 5,900.12","₹ 3,488.12",59.12%,3.13
BATCH00450,Rice,East,Rabi,518.38,11.09,33.39,2.7,1.1,18,A,3.71,Farm,87.06,Medium,5.7,8.56,"₹ 2,954.77","₹ 4,437.33","₹ 1,482.57",33.41%,19.23
BATCH00451,Rice,West,Rabi,769.3,11.69,36.63,2.8,3.1,10,B,3.38,Warehouse,64.71,Low,7.37,6.18,"₹ 5,669.74","₹ 4,754.27",-₹ 915.47,-19.26%,26.00
BATCH00452,Rice,South,Kharif,534.98,15.7,23.01,2.2,0.7,18,B,8.75,Farm,73.83,High,3.2,9.45,"₹ 1,711.94","₹ 5,055.56","₹ 3,343.63",66.14%,46.81
BATCH00453,Rice,East,Rabi,399.59,16.11,20.77,0.5,2.5,28,B,5.53,Transit,99.59,High,6.06,12.36,"₹ 2,421.52","₹ 4,938.93","₹ 2,517.42",50.97%,22.10
BATCH00454,Wheat,North,Kharif,490.45,12,37.58,1.8,3.4,1,B,3.96,Warehouse,78.82,Low,7.19,14.62,"₹ 3,526.34","₹ 7,170.38","₹ 3,644.04",50.82%,19.42
BATCH00455,Maize,North,Kharif,322.38,17.47,26.3,1.7,1.9,19,B,3.03,Transit,67.55,High,9.77,8.74,"₹ 3,149.65","₹ 2,817.60",-₹ 332.05,-11.78%,9.77
BATCH00456,Rice,East,Kharif,491.94,12.06,22.58,1.3,0.4,16,C,6.11,Warehouse,81.37,High,9.14,10.43,"₹ 4,496.33","₹ 5,130.93",₹ 634.60,12.37%,30.06
BATCH00457,Barley,East,Kharif,416.69,15.72,29.37,1.6,0.2,26,B,1.94,Warehouse,59,High,4.97,13.51,"₹ 2,070.95","₹ 5,629.48","₹ 3,558.53",63.21%,8.08
BATCH00458,Maize,North,Kharif,591.54,12.84,31.97,1.4,0.8,7,A,2.84,Farm,59.96,Medium,6.55,8.34,"₹ 3,874.59","₹ 4,933.44","₹ 1,058.86",21.46%,16.80
BATCH00459,Maize,South,Rabi,445.05,16.98,20.62,1.7,0.6,15,A,3.29,Transit,96.25,High,3.39,6.42,"₹ 1,508.72","₹ 2,857.22","₹ 1,348.50",47.20%,14.64
BATCH00460,Rice,West,Rabi,488.32,17.08,25.5,2.5,2.1,29,B,6.28,Farm,61.96,Low,4.69,7.82,"₹ 2,290.22","₹ 3,818.66","₹ 1,528.44",40.03%,30.67
BATCH00461,Wheat,South,Kharif,436.44,8.87,20.66,0.2,0.1,1,B,4.05,Warehouse,65.54,Low,8.42,13.99,"₹ 3,674.82","₹ 6,105.80","₹ 2,430.97",39.81%,17.68
BATCH00462,Rice,East,Rabi,673.89,17.36,28.41,2.8,0.3,23,B,5.3,Farm,77.19,Low,3.86,6.59,"₹ 2,601.22","₹ 4,440.94","₹ 1,839.72",41.43%,35.72
BATCH00463,Wheat,South,Kharif,467.88,16.26,37.9,0.3,1.4,21,B,6.68,Warehouse,94.98,High,4.8,8.29,"₹ 2,245.82","₹ 3,878.73","₹ 1,632.90",42.10%,31.25
BATCH00464,Barley,North,Rabi,683.26,15.91,39.65,0.1,0.1,9,B,9.58,Warehouse,89.07,Medium,9.61,9.65,"₹ 6,566.13","₹ 6,593.46",₹ 27.33,0.41%,65.46
